1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
1, Linear, 0, Linear, 0, 5, 5, 19, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
2, Linear, 0, Linear, 0, 5, 5, 20, LinearPlayer2
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
3, Linear, 0, Linear, 0, 5, 5, 21, LinearPlayer1
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
4, Advanced, 0, Linear, 0, 5, 5, 19, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
5, Advanced, 0, Linear, 0, 5, 5, 20, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
6, Advanced, 0, Linear, 0, 5, 5, 21, LinearPlayer2
7, Random, 50, Linear, 0, 5, 5, 19, LinearPlayer2
7, Random, 50, Linear, 0, 5, 5, 19, LinearPlayer2
