1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
1, Linear, 0, Linear, 0, 4, 4, 12, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
2, Linear, 0, Linear, 0, 4, 4, 11, LinearPlayer2
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
3, Linear, 0, Linear, 0, 4, 4, 13, LinearPlayer1
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
4, Advanced, 0, Linear, 0, 4, 4, 11, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
5, Advanced, 0, Linear, 0, 4, 4, 12, LinearPlayer2
